"","msoa","index"
"1","S02001237",1
"2","S02001296",2
"3","S02001236",3
"4","S02001250",4
"5","S02001261",5
"6","S02001249",6
"7","S02001262",7
"8","S02001246",8
"9","S02001327",9
"10","S02001247",10
"11","S02001259",11
"12","S02001251",12
"13","S02001252",13
"14","S02001257",14
"15","S02001258",15
"16","S02001256",16
"17","S02001255",17
"18","S02001254",18
"19","S02001295",19
"20","S02001294",20
"21","S02001290",21
"22","S02001253",22
"23","S02001240",23
"24","S02001248",24
"25","S02001241",25
"26","S02001242",26
"27","S02001239",27
"28","S02001243",28
"29","S02001275",29
"30","S02001308",30
"31","S02001238",31
"32","S02001245",32
"33","S02001310",33
"34","S02001270",34
"35","S02001244",35
"36","S02001269",36
"37","S02001271",37
"38","S02001273",38
"39","S02001272",39
"40","S02001274",40
"41","S02001268",41
"42","S02001278",42
"43","S02001312",43
"44","S02001280",44
"45","S02001277",45
"46","S02001311",46
"47","S02001316",47
"48","S02001317",48
"49","S02001307",49
"50","S02001306",50
"51","S02001260",51
"52","S02001264",52
"53","S02001265",53
"54","S02001267",54
"55","S02001266",55
"56","S02001263",56
"57","S02001279",57
"58","S02001282",58
"59","S02001284",59
"60","S02001283",60
"61","S02001276",61
"62","S02001281",62
"63","S02001315",63
"64","S02001287",64
"65","S02001288",65
"66","S02001289",66
"67","S02001359",67
"68","S02001292",68
"69","S02001293",69
"70","S02001291",70
"71","S02001299",71
"72","S02001298",72
"73","S02001286",73
"74","S02001297",74
"75","S02001300",75
"76","S02001285",76
"77","S02001309",77
"78","S02001301",78
"79","S02001320",79
"80","S02002073",80
"81","S02001984",81
"82","S02002074",82
"83","S02002075",83
"84","S02001314",84
"85","S02001332",85
"86","S02001326",86
"87","S02001328",87
"88","S02001324",88
"89","S02001325",89
"90","S02002077",90
"91","S02001322",91
"92","S02001340",92
"93","S02001339",93
"94","S02001329",94
"95","S02001330",95
"96","S02001341",96
"97","S02001343",97
"98","S02001338",98
"99","S02001342",99
"100","S02001336",100
"101","S02001335",101
"102","S02001337",102
"103","S02001334",103
"104","S02001333",104
"105","S02001331",105
"106","S02001318",106
"107","S02001313",107
"108","S02001323",108
"109","S02001305",109
"110","S02002079",110
"111","S02002078",111
"112","S02002080",112
"113","S02002081",113
"114","S02002076",114
"115","S02001321",115
"116","S02001304",116
"117","S02001319",117
"118","S02001302",118
"119","S02001303",119
"120","E02004937",120
"121","E02004936",121
"122","E02004940",122
"123","E02004939",123
"124","E02004935",124
"125","E02004934",125
"126","E02004933",126
"127","E02004938",127
"128","E02004991",128
"129","E02004989",129
"130","E02004990",130
"131","E02004992",131
"132","E02004993",132
"133","E02004981",133
"134","E02004941",134
"135","E02004899",135
"136","E02004943",136
"137","E02004942",137
"138","E02004900",138
"139","E02004929",139
"140","E02004930",140
"141","E02004932",141
"142","E02004927",142
"143","E02004928",143
"144","E02004856",144
"145","E02003651",145
"146","E02004931",146
"147","E02004923",147
"148","E02004925",148
"149","E02004926",149
"150","E02004924",150
"151","E02004887",151
"152","E02004980",152
"153","E02004982",153
