FID,IZ11CD,IZ11NM
1,S02001236,Culter
2,S02001336,Peterhead Harbour
3,S02001237,"Cults, Bieldside and Milltimber West"
4,S02001238,"Cults, Bieldside and Milltimber East"
5,S02001337,Peterhead Ugieside
6,S02001338,Longside and Rattray
7,S02001239,Garthdee
8,S02001240,"Braeside, Mannofield, Broomhill and Seafield East"
9,S02001339,Rosehearty and Strathbeg
10,S02001340,Fraserburgh Smiddyhill
11,S02001241,"Braeside, Mannofield, Broomhill and Seafield South"
12,S02001242,"Braeside, Mannofield, Broomhill and Seafield North"
13,S02001341,Fraserburgh Lochpots
14,S02001342,Fraserburgh Central-Academy
15,S02001243,Hazlehead
16,S02001244,Summerhill
17,S02001343,Fraserburgh Harbour and Broadsea
18,S02001344,South Angus
19,S02001245,Midstocket
20,S02001246,Rosemount
21,S02001345,Monikie
22,S02001346,Monifieth West
23,S02001247,West End North
24,S02001248,West End South
25,S02001347,Monifieth East
26,S02001348,Carnoustie West
27,S02001249,City Centre West
28,S02001250,City Centre East
29,S02001349,Carnoustie East
30,S02001350,Arbroath Landward
31,S02001251,Ferryhill North
32,S02001252,Ferryhill South
33,S02001351,Arbroath Kirkton
34,S02001352,Arbroath Keptie
35,S02001253,"Kincorth, Leggart and Nigg North"
36,S02001254,"Kincorth, Leggart and Nigg South"
37,S02001353,Arbroath Harbour
38,S02001354,Arbroath Cliffburn
39,S02001255,Cove South
40,S02001256,Cove North
41,S02001355,Arbroath Warddykes
42,S02001356,Lunan
43,S02001257,Torry West
44,S02001258,Torry East
45,S02001357,Montrose South
46,S02001358,Montrose North
47,S02001259,Hanover South
48,S02001260,Hanover North
49,S02001359,Hillside
50,S02001360,Friockheim
51,S02001261,George Street
52,S02001262,Ashgrove
53,S02001361,Brechin East
54,S02001362,Brechin West
55,S02001263,"Froghall, Powis and Sunnybank"
56,S02001264,Seaton
57,S02001265,Old Aberdeen
58,S02001266,Tillydrone
59,S02001267,Woodside
60,S02001363,Letham and Glamis
61,S02001268,Hilton
62,S02001364,Forfar East
63,S02001365,Forfar Central
64,S02001269,Stockethill
65,S02001270,Mastrick
66,S02001366,Forfar West
67,S02001367,Kirriemuir Landward
68,S02001271,Sheddocksley
69,S02001272,Cummings Park
70,S02001368,Kirriemuir
71,S02001369,Angus Glens
72,S02001273,Northfield
73,S02001274,Heathryfold and Middlefield
74,S02001370,"Mull, Iona, Coll and Tiree"
75,S02001371,Oban South
76,S02001275,Kingswells
77,S02001276,Bucksburn South
78,S02001372,Oban North
79,S02001373,Benderloch Trail
80,S02001277,Bucksburn North
81,S02001278,Dyce
82,S02001374,Loch Awe
83,S02001375,Mid Argyll
84,S02001279,Danestone
85,S02001280,Oldmachar West
86,S02001376,Greater Lochgilphead
87,S02001377,Knapdale
88,S02001281,Oldmachar East
89,S02001282,Balgownie and Donmouth West
90,S02001378,Whisky Isles
91,S02001379,Kintyre Trail
92,S02001283,Balgownie and Donmouth East
93,S02001284,Denmore
94,S02001380,Campbeltown
95,S02001285,East Cairngorms
96,S02001381,Bute
97,S02001382,Rothesay Town
98,S02001383,Cowal South
99,S02001384,Cowal North
100,S02001385,Hunter's Quay
101,S02001436,Lockerbie
102,S02001437,Moffat
103,S02001438,Langholm and Eskdale
104,S02001439,Annandale East
105,S02001440,Annandale West
106,S02001441,Annan West
107,S02001442,Annan East
108,S02001443,Eastriggs
109,S02001444,Gretna
110,S02001445,Westend
111,S02001446,Perth Road
112,S02001447,Logie and Blackness
113,S02001448,City Centre
114,S02001449,Docks and Wellgate
115,S02001450,Hilltown
116,S02001451,The Glens
117,S02001452,Stobswell
118,S02001453,Baxter Park
119,S02001454,Craigie and  Craigiebank
120,S02001455,Douglas West
121,S02001456,West Ferry
122,S02001457,Douglas East
123,S02001458,Broughty Ferry West
124,S02001459,Broughty Ferry East
125,S02001460,Barnhill
126,S02001461,West Pitkerro
127,S02001462,Whitfield
128,S02001463,Fintry
129,S02001464,Linlathen and Midcraigie
130,S02001465,Caird Park
131,S02001466,Kirkton
132,S02001467,Downfield
133,S02001468,Fairmuir
134,S02001469,Law
135,S02001470,Balgay
136,S02001471,Menzieshill
137,S02001472,Charleston
138,S02001473,Lochee
139,S02001474,Ardler and St Marys
140,S02001475,Western Edge
141,S02001476,Doon Valley South
142,S02001477,Doon Valley North
143,S02001478,Mauchline Rural
144,S02001479,Drongan
145,S02001480,Mauchline
146,S02001481,Cumnock Rural
147,S02001482,New Cumnock
148,S02001483,Cumnock South and Craigens
149,S02001484,Cumnock North
150,S02001485,Auchinleck
151,S02001536,IZ03
152,S02001537,IZ04
153,S02001538,IZ05
154,S02001539,IZ06
155,S02001540,IZ07
156,S02001541,IZ08
157,S02001542,IZ09
158,S02001543,IZ10
159,S02001544,IZ11
160,S02001545,IZ12
161,S02001546,IZ13
162,S02001547,IZ14
163,S02001548,IZ15
164,S02001549,IZ16
165,S02001550,IZ17
166,S02001551,IZ18
167,S02001552,IZ19
168,S02001553,IZ20
169,S02001554,IZ21
170,S02001555,IZ22
171,S02001556,West Neilston and Uplawmoor
172,S02001557,Cross Stobbs
173,S02001558,"Dunterlie, East Arthurlie and Dovecothall"
174,S02001559,West Arthurlie and North Neilston
175,S02001560,Auchenback
176,S02001561,Crookfur and Fruin
177,S02001562,"Mearns Village, Westacres and Greenfarm"
178,S02001563,Whitecraigs and Broom
179,S02001564,Mearnskirk and South Kirkhill
180,S02001565,Eaglesham and Waterfoot
181,S02001566,North Kirkhill
182,S02001567,Busby
183,S02001568,Clarkston and Sheddens
184,S02001569,Williamwood
185,S02001570,Stamperland
186,S02001571,Netherlee
187,S02001572,Merrylee and Braidbar
188,S02001573,Lower Whitecraigs and South Giffnock
189,S02001574,North Giffnock and North Thornliebank
190,S02001575,South Thornliebank and Woodfarm
191,S02001576,Balerno and Bonnington Village
192,S02001577,Currie West
193,S02001578,Currie East
194,S02001579,Baberton and Juniper Green
195,S02001580,Bonaly and The Pentlands
196,S02001581,Colinton and Kingsknowe
197,S02001582,Clovenstone and Wester Hailes
198,S02001583,The Calders
199,S02001584,Murrayburn and Wester Hailes North
200,S02001585,Parkhead and Sighthill
201,S02001386,Dunoon
202,S02001387,Garelochhead
203,S02001388,Helensburgh West and Rhu
204,S02001389,Helensburgh North
205,S02001390,Helensburgh Centre
206,S02001391,Helensburgh East
207,S02001392,Lomond Shore
208,S02001393,Tullibody South
209,S02001394,Tullibody North and Glenochil
210,S02001395,Menstrie
211,S02001396,Alva
212,S02001397,"Fishcross, Devon Village and Coalsnaughton"
213,S02001398,Tillicoultry
214,S02001399,Dollar and Muckhart
215,S02001400,"Clackmannan, Kennet and Forestmill"
216,S02001401,Sauchie
217,S02001402,Alloa South and East
218,S02001403,Alloa North
219,S02001404,Alloa West
220,S02001405,Stranraer West
221,S02001406,Stranraer East
222,S02001407,Stranraer South
223,S02001408,Rhins North
224,S02001409,Rhins South
225,S02001486,Northern and Irvine Valley Rural
226,S02001410,Machars North
227,S02001411,Machars South
228,S02001412,Newton Stewart
229,S02001413,Gatehouse
230,S02001414,Kirkcudbright
231,S02001415,Castle Douglas
232,S02001416,Dalbeattie
233,S02001417,Dalbeattie Rural
234,S02001418,Glenkens
235,S02001419,Upper Nithsdale
236,S02001420,Thornhill
237,S02001421,Mid Nithsdale
238,S02001422,Shawhead
239,S02001423,Lochside and Lincluden
240,S02001424,Summerville
241,S02001425,Troqueer
242,S02001426,New Abbey
243,S02001427,Kingholm
244,S02001428,Calside
245,S02001429,Georgetown
246,S02001430,Dumfries Central
247,S02001431,Nunholm
248,S02001432,Locharbriggs
249,S02001433,Heathhall
250,S02001434,Collin
251,S02001435,Lochmaben
252,S02001286,Aboyne and South Deeside
253,S02001487,Stewarton East
254,S02001287,Mearns and Laurencekirk
255,S02001488,Stewarton West
256,S02001288,Mearns South and Benholm
257,S02001489,Darvel
258,S02001289,Mearns North and Inverbervie
259,S02001490,Newmilns
260,S02001290,"Fetteresso, Netherley and Catter"
261,S02001491,Galston
262,S02001291,Stonehaven South
263,S02001492,Earlston and Hurlford Rural
264,S02001292,Stonehaven North
265,S02001493,Shortlees
