Local Authority,Large Urban Areas,Other Urban Areas,Access. Small Towns,Remote Small Towns,Very Remote Small Towns,Access. Rural,Remote Rural,Very Remote Rural
Aberdeen City,93.4,0,5.3,0,0,1.4,0,0
Aberdeenshire,0,30.4,14.4,6.8,0,35,12.3,1.1
Angus,7.6,53.9,11.6,0,0,26.1,0.7,0
Argyll & Bute,0,17.9,4.2,0,30.6,4.2,5.4,37.6
Clackmannanshire,0,40.4,45,0,0,14.6,0,0
Dumfries & Galloway,0,29.7,17.4,7.7,0,24.2,20.8,0.1
Dundee City,99.5,0,0,0,0,0.5,0,0
East Ayrshire,0,42,19.1,10.3,0,20.6,8,0
East Dunbartonshire,60.1,27.4,7.4,0,0,5.1,0,0
East Lothian,23.2,21.7,14,15.3,0,23.8,2,0
East Renfrewshire,68.6,18.8,9.1,0,0,3.5,0,0
"Edinburgh, City of",96.2,0,2.8,0,0,1,0,0
Falkirk,0,90,2,0,0,8,0,0
Fife,0,67.1,15.4,0,0,17.5,0,0
Glasgow City,99.6,0,0,0,0,0.4,0,0
Highland,0,31.3,4.2,9.2,7.8,9.5,14.1,23.8
Inverclyde,0,85.5,12.5,0,0,2,0,0
Midlothian,0,77.2,8.8,0,0,14.1,0,0
Moray,0,36.3,8.2,14,0,29.8,11.7,0.1
Na h-Eileanan Siar,0,0,0,0,27.6,0,0,72.4
North Ayrshire,0,72,18.8,0,0,4.9,1,3.3
North Lanarkshire,1.9,81.6,8.5,0,0,8.1,0,0
Orkney Islands,0,0,0,0,34,0,0,66
Perth & Kinross,1.2,31.5,10.3,10.9,0,33.2,11.5,1.4
Renfrewshire,76,9.9,9.4,0,0,4.7,0,0
Scottish Borders,0,25.1,22,6,0,36.1,10.7,0
Shetland Islands,0,0,0,0,29.6,0,0,70.4
South Ayrshire,0,68.7,4.1,5.7,0,17.5,4,0
South Lanarkshire,19,59.6,10.7,0,0,9.2,1.6,0
Stirling,0,53.2,13.4,0,0,26.6,5.7,1.1
West Dunbartonshire,48.2,50.6,0,0,0,1.3,0,0
West Lothian,0,82,9.7,0,0,8.3,0,0
