"X","Y","",""
539053.48402752,226612.218162359,-53010.7662329542,78483.8397451339
487576.465197193,316318.66634583,-25666.5734464634,-87394.7902722678
675382.14276283,303537.368692591,10669.2026011454,-15742.3205855678
390444.473176055,184429.050494682,13192.0108872352,-13897.6357604366
467847.301120193,269215.784742694,129782.17899212,131758.500507833
462526.497574084,341799.749118456,41296.9860289006,7755.89374407948
439151.21378396,322406.40691096,25698.1560147564,12013.3175608384
473098.973971799,272914.095522331,-181922.728596017,648733.256393772
508825.991172438,380403.888343131,50212.6535158721,57821.0768942056
369119.523120597,327194.671847207,38825.6182097347,59646.8341966908
450740.703805064,397407.676371082,3363.21400401003,-28285.1035454724
385327.732717484,367861.16472071,29016.4648207845,65053.188615664
535976.33977525,240614.199141724,86310.826566039,-81814.059457962
365275.832240877,288534.655917858,53352.5281184825,2610.89879492359
304855.65150568,332989.805003637,10983.6750803135,-26883.4534362884
531063.064840531,293536.856239198,121465.663206254,-21468.9534657534
469967.929153793,333630.012114117,79974.5048474505,-49202.7161441149
404943.205521035,235773.430474918,-32313.1074056219,-28372.8045704388
465548.090845642,317213.096788436,-35351.9422880698,-75908.904918659
523864.144446767,321373.19719475,5413.13384995949,-92358.2210739058
220802.26902021,272444.312004876,-457729.01020782,909376.492048676
399522.0956671,201533.295406071,107511.733988122,68152.5540766241
140898.80435528,117987.051637445,-424982.960847019,905034.238295166
550080.959600303,241550.563165808,130057.597765717,107269.689656161
426353.344622357,274569.820379732,45289.975527753,-38679.7383748505
438219.980060393,185657.958841867,4156.67850736719,-22854.4834978778
140440.269847605,187334.062903596,12692.1872905718,-67841.2910308307
334510.072465477,251010.449045586,-64174.277926467,-23186.6746864006
442457.36768856,307437.222277856,-99380.3053262262,-28786.5668047778
505953.06824701,345734.526240884,-74472.4728348925,-64265.7603476594
477100.886424505,355012.136776096,-104568.906511757,-102563.393799024
423143.906618892,333891.532035975,-77056.5331135217,-104856.302767774
276501.600975945,365600.724690492,-131208.18561899,474682.946552129
424465.599654702,419732.815327452,71876.1729612708,149491.532369416
423947.137656258,252247.205191578,-224472.244485488,526594.874130174
407416.690415051,361004.700639601,67481.4372535042,669.917263746378
449988.701923731,305392.632056941,-27403.589278871,-48685.0355721018
449713.845360679,291350.13168564,13374.2271217192,-81591.8855886107
603430.373263455,444619.932525789,107367.497049615,221845.713082534
330618.832690965,359131.718674086,-301300.670224792,893898.527828949
460332.227158319,296906.971633849,-268285.738624262,745983.564812825
316653.568663501,382315.532744075,197095.217257112,-55839.2080475006
380729.103068959,313295.322139971,133759.642039648,234516.360932913
396277.756458037,198573.781227968,108617.468743957,110108.493887584
456026.435670366,196160.485953207,130549.974410439,-53397.8348423249
466980.753206043,271186.488525522,-78145.0377443813,-113963.783737785
