,LAD11CD,LAD,NorthIndicator
0,E09000033,Westminster,0
1,E09000028,Southwark,0
2,E09000020,Kensington and Chelsea,0
3,E09000030,Tower Hamlets,0
4,E08000025,Birmingham,1
5,E08000035,Leeds,1
6,E09000019,Islington,0
7,E09000007,Camden,0
8,S12000049,Glasgow City,1
9,S12000036,City of Edinburgh,1
10,E06000052,Cornwall,0
11,E06000037,West Berkshire,0
12,E06000045,Southampton,0
13,E06000054,Wiltshire,0
14,E06000043,Brighton and Hove,0
15,E06000049,Cheshire East,1
16,E08000003,Manchester,1
17,E08000019,Sheffield,1
18,E08000032,Bradford,1
19,E08000034,Kirklees,1
20,E07000222,Warwick,1
21,E06000030,Swindon,0
22,E07000207,Elmbridge,0
23,E06000023,"Bristol, City of",0
24,E09000032,Wandsworth,0
25,E09000013,Hammersmith and Fulham,0
26,E06000042,Milton Keynes,0
27,E09000017,Hillingdon,0
28,S12000035,Argyll and Bute,1
29,S12000017,Highland,1
30,S12000047,Fife,1
31,S12000048,Perth and Kinross,1
32,E07000031,South Lakeland,1
33,E08000021,Newcastle upon Tyne,1
34,E06000048,Northumberland,1
35,E06000047,County Durham,1
36,E08000007,Stockport,1
37,E08000009,Trafford,1
38,E06000050,Cheshire West and Chester,1
39,E08000006,Salford,1
40,E07000123,Preston,1
41,E08000001,Bolton,1
42,E06000028,Bournemouth,0
43,E06000029,Poole,0
44,E07000091,New Forest,0
45,E07000065,Wealden,0
46,E07000228,Mid Sussex,0
47,E06000025,South Gloucestershire,0
48,E06000022,Bath and North East Somerset,0
49,E07000007,Wycombe,0
50,E06000040,Windsor and Maidenhead,0
51,E09000006,Bromley,0
52,E09000022,Lambeth,0
53,E09000008,Croydon,0
54,E09000027,Richmond upon Thames,0
55,E09000018,Hounslow,0
56,E06000039,Slough,0
57,E09000012,Hackney,0
58,E09000003,Barnet,0
59,E09000009,Ealing,0
60,E09000021,Kingston upon Thames,0
61,E09000001,City of London,0
62,E08000029,Solihull,1
63,E09000010,Enfield,0
64,E06000018,Nottingham,1
65,W06000023,Powys,1
66,W06000015,Cardiff,1
67,E06000019,"Herefordshire, County of",1
68,E06000051,Shropshire,1
69,E07000131,Harborough,1
70,E06000016,Leicester,1
71,E06000007,Warrington,1
72,E08000014,Sefton,1
73,E08000012,Liverpool,1
74,E06000009,Blackpool,1
75,E06000031,Peterborough,0
76,E06000014,York,1
77,E07000164,Hambleton,1
78,E07000165,Harrogate,1
79,E07000227,Horsham,0
80,E07000224,Arun,0
81,E07000225,Chichester,0
82,E07000209,Guildford,0
83,E06000036,Bracknell Forest,0
84,E07000216,Waverley,0
85,E07000154,Northampton,1
86,E06000055,Bedford,0
87,E06000056,Central Bedfordshire,0
88,E07000004,Aylesbury Vale,0
89,E07000008,Cambridge,0
90,E07000011,Huntingdonshire,0
91,E07000012,South Cambridgeshire,0
92,E08000026,Coventry,1
93,E07000239,Wyre Forest,1
94,E07000172,Broxtowe,1
95,E07000079,Cotswold,0
96,E07000082,Stroud,0
97,E07000078,Cheltenham,0
98,E07000221,Stratford-on-Avon,1
99,E08000031,Wolverhampton,1
100,E08000027,Dudley,1
101,E07000121,Lancaster,1
102,E07000181,West Oxfordshire,0
103,E07000177,Cherwell,0
104,E07000178,Oxford,0
105,E07000180,Vale of White Horse,0
106,E07000179,South Oxfordshire,0
107,E06000038,Reading,0
108,E06000041,Wokingham,0
109,E09000004,Bexley,0
110,E09000024,Merton,0
111,E09000029,Sutton,0
112,E07000226,Crawley,0
113,E07000211,Reigate and Banstead,0
114,E06000033,Southend-on-Sea,0
115,E07000066,Basildon,0
116,E07000070,Chelmsford,0
117,E07000067,Braintree,0
118,E07000084,Basingstoke and Deane,0
119,E07000072,Epping Forest,0
120,E07000100,St Albans,0
121,E07000103,Watford,0
122,E07000096,Dacorum,0
123,E09000014,Haringey,0
124,E09000015,Harrow,0
125,E09000005,Brent,0
126,E07000068,Brentwood,0
127,E07000134,North West Leicestershire,1
128,E06000015,Derby,1
129,E07000035,Derbyshire Dales,1
130,E07000032,Amber Valley,1
131,E07000193,East Staffordshire,1
132,E07000037,High Peak,1
133,E07000038,North East Derbyshire,1
134,E07000034,Chesterfield,1
135,W06000011,Swansea,1
136,W06000010,Carmarthenshire,1
137,W06000008,Ceredigion,1
138,W06000009,Pembrokeshire,1
139,W06000006,Wrexham,1
140,W06000005,Flintshire,1
141,W06000002,Gwynedd,1
142,W06000004,Denbighshire,1
143,W06000003,Conwy,1
144,S12000006,Dumfries and Galloway,1
145,S12000033,Aberdeen City,1
146,S12000034,Aberdeenshire,1
147,S12000041,Angus,1
148,S12000042,Dundee City,1
149,S12000040,West Lothian,1
150,S12000014,Falkirk,1
151,S12000050,North Lanarkshire,1
152,S12000029,South Lanarkshire,1
153,S12000030,Stirling,1
154,S12000026,Scottish Borders,1
155,S12000038,Renfrewshire,1
156,S12000010,East Lothian,1
157,E08000030,Walsall,1
158,E08000022,North Tyneside,1
159,E06000005,Darlington,1
160,E06000004,Stockton-on-Tees,1
161,E08000024,Sunderland,1
162,E08000023,South Tyneside,1
163,E08000020,Gateshead,1
164,E07000027,Barrow-in-Furness,1
165,E07000029,Copeland,1
166,E07000028,Carlisle,1
167,E07000030,Eden,1
168,E07000026,Allerdale,1
169,E07000009,East Cambridgeshire,0
170,E07000145,Great Yarmouth,0
171,E07000206,Waveney,0
172,E07000090,Havant,0
173,E06000046,Isle of Wight,0
174,E07000050,North Dorset,0
175,E07000048,Christchurch,0
176,E07000049,East Dorset,0
177,E07000191,West Somerset,0
178,E07000190,Taunton Deane,0
179,E07000107,Dartford,0
180,E07000064,Rother,0
181,E07000080,Forest of Dean,0
182,W06000021,Monmouthshire,1
183,W06000022,Newport,1
184,W06000014,The Vale of Glamorgan,1
185,W06000012,Neath Port Talbot,1
186,W06000013,Bridgend,1
187,W06000016,Rhondda Cynon Taf,1
188,W06000018,Caerphilly,1
189,E07000051,Purbeck,0
190,E07000053,Weymouth and Portland,0
191,E07000169,Selby,1
192,E06000003,Redcar and Cleveland,1
193,E06000002,Middlesbrough,1
194,E07000173,Gedling,1
195,E07000039,South Derbyshire,1
196,E07000036,Erewash,1
197,E07000171,Bassetlaw,1
198,E07000174,Mansfield,1
199,E07000033,Bolsover,1
200,E07000170,Ashfield,1
201,S12000028,South Ayrshire,1
202,S12000039,West Dunbartonshire,1
203,S12000011,East Renfrewshire,1
204,S12000018,Inverclyde,1
205,S12000021,North Ayrshire,1
206,S12000005,Clackmannanshire,1
207,S12000020,Moray,1
208,S12000019,Midlothian,1
209,S12000023,Orkney Islands,1
210,S12000013,Na h-Eileanan Siar,1
211,S12000027,Shetland Islands,1
212,S12000045,East Dunbartonshire,1
213,S12000008,East Ayrshire,1
214,E07000196,South Staffordshire,1
215,E07000236,Redditch,1
216,E07000219,Nuneaton and Bedworth,1
217,E07000218,North Warwickshire,1
218,E07000201,Forest Heath,0
219,W06000001,Isle of Anglesey,1
220,E07000120,Hyndburn,1
221,E07000166,Richmondshire,1
222,E07000150,Corby,1
223,W06000020,Torfaen,1
224,E07000125,Rossendale,1
225,E07000135,Oadby and Wigston,1
226,W06000019,Blaenau Gwent,1
227,E06000053,Isles of Scilly,0
