"","X","Y","",""
"1",571974.301717444,297353.143014753,18864.5576485647,52178.0900278944
"2",458283.050032869,313070.235216494,27654.9421933717,-92979.4157808006
"3",542492.515229531,271073.333171812,-43245.4750609578,-16286.7401960378
"4",434545.948681494,259401.381500561,12549.2310797047,-47121.6444533388
"5",455213.512389696,311935.928216248,93478.1960746991,52694.9774270178
"6",473145.35107814,282903.979580964,61989.9105409609,-29754.0015143089
"7",463053.770487473,310948.27626591,50408.311228833,-2994.16719929787
"8",504334.262958122,286970.040305986,4019.44636002154,420811.161053919
"9",486125.88129103,348661.61738936,45785.801120672,-18006.7503200045
"10",396944.083825819,260949.510644972,-10411.839154018,-3633.41369679605
"11",461165.046009058,366706.765453485,16144.4127482764,-72838.8247025144
"12",412292.027397199,332524.944488069,57326.1643400049,-48734.7317529569
"13",453876.063096317,298436.153752315,43279.5544063925,-97220.26342888
"14",412518.622887735,281908.090519663,51687.115568267,-13132.169033937
"15",375761.067014812,320594.791087197,-34378.2761350319,-63135.7564014239
"16",488543.196491313,338448.393786162,85278.8358233198,-3572.19486633371
"17",428400.95204562,330807.730790453,-3842.63451608035,-70634.8064153762
"18",435138.950547935,296693.693679788,4982.52179406575,-78463.1299769431
"19",433215.813877943,311862.351487535,-60456.0691203942,-89101.6787905423
"20",466582.423733865,326649.481111783,-51523.0551765359,-102941.763937761
"21",332165.533871651,269012.554475804,-126191.251442836,344634.531885873
"22",403388.911581167,192174.484357422,107489.527107265,21554.857071108
"23",257668.747235018,107561.832369,-150659.894456962,522973.523571854
"24",463523.503476694,244142.108188421,100969.10920295,47733.466559256
"25",415769.670849628,249425.9430306,47285.0103038818,-44924.4507706221
"26",416913.239609507,209662.763555057,18728.0936200684,-49619.1662238635
"27",217354.326111855,159580.793585313,-44881.7927944034,-54321.956481811
"28",326193.742354828,221799.742737415,-21044.3019940961,-31628.1838182186
"29",294573.155034371,285304.509626669,-45708.5281113904,-59496.9937716887
"30",488305.804208547,320224.844155541,-26584.3104333061,-90432.9372695559
"31",493090.780724828,346333.290843341,-27234.0995834377,-106963.539899203
"32",458110.293676424,327910.998640366,-60220.5429911553,-129636.191658717
"33",381045.290082031,348078.453064531,-74323.4043785298,83930.7911923704
"34",466687.584733733,391931.188798132,64298.7988128864,49376.5805619614
"35",432905.832126186,384321.024382761,-79683.1053393519,175153.518463915
"36",432524.217866439,391611.096468169,-17183.2434811381,-5996.61484615135
"37",415838.392709849,344119.316217114,-11021.0851881885,-70261.9751725654
"38",462735.409550858,320237.772259663,17997.2826688447,-91985.3939446754
"39",515769.916964996,370893.273590056,102051.174113902,97794.0103303847
"40",429276.465105683,391978.07864652,-80857.4376723447,582958.837691037
"41",462560.821515352,353585.474184857,-54636.306321899,407404.062344549
"42",419247.9968542,361978.548869012,94723.002271792,-24415.6979678874
"43",414836.715633965,361654.218155254,69349.3266117485,131262.391988018
"44",380330.067958363,227581.799955736,106935.474850073,56633.2256133051
"45",433079.391845746,206263.64906806,86067.0824015449,-58305.656345965
"46",469792.133172938,298344.180506646,-40734.6297133646,-119402.389536683
"47",417844.965836888,211021.111052736,-29102.1284537829,-106794.716225252
"48",394081.068021168,190523.479160737,39821.678085263,33092.4609274849
"49",434954.821886787,291354.391187916,-23455.3202174173,-84874.1055083765
"50",489991.355753079,338059.542310024,91365.3874884861,14487.4957763429
"51",439465.818521095,334639.331973063,-63219.3187076025,329800.695144105
"52",505451.024591512,373695.416664883,13986.9536846486,96939.6160132699
"53",470844.619800168,319082.520572415,1954.27022812223,-61885.3970827489
"54",471976.174623828,226249.22785037,42080.0085880033,257403.03915282
"55",410327.242541071,160851.07061638,-10579.1021388824,53659.6848891751
"56",402511.33983465,211045.658701179,-31391.3123035104,-9267.33647700521
"57",466243.16907421,254193.587714701,25880.1888797917,-62433.4366125195
"58",466035.024409959,191083.31847952,52497.0066921543,-11591.0484612496
"59",415760.563289087,266126.354997238,-14989.5570295885,21878.4560608805
"60",470801.316403771,285142.109355326,-22664.7409809293,-111784.062360577
"61",496651.274203382,267867.406755093,33662.6763353721,16060.0874769634
"62",476890.6084701,266153.19708742,-14051.7141806648,21160.5623574636
"63",460913.579915901,316693.506290981,-21430.9413110983,-51021.2844363742
