"","X","Y","",""
"1",521239.301255506,191216.670914057,-51550.7018162784,84188.4998409018
"2",506701.476082693,281358.780072224,58256.1161521049,-55603.9226334815
"3",506197.439050173,261048.461944025,1960.48978676356,-47601.604166392
"4",415690.133701819,237691.689523028,63892.5740502172,8797.6076541704
"5",418862.111020815,237945.07456833,-14368.6096296638,38941.0133195531
"6",501881.125493269,201992.887719251,39846.2328652861,-20482.2759182611
"7",460883.112374626,266956.46518974,74512.2262428511,29143.3945032882
"8",442995.455066027,140297.078325429,-159096.406686501,489565.286554744
"9",441185.72288045,304482.056878963,-54277.0704538261,-7461.594667923
"10",409359.297976656,296291.95986711,6398.95366504767,-29038.5683628188
"11",421522.339498935,396972.409918235,11159.4351603074,-37216.734059952
"12",459813.597750326,350653.034646935,-52743.9738389956,-60020.3002418279
"13",415265.980883908,346328.478693955,-17808.0666196949,-102410.46174883
"14",424006.49969685,266541.352802689,15680.6350215301,49567.780030464
"15",390471.665068353,276265.782045735,2246.16264399032,-60291.2364704798
"16",399265.505924322,254702.589640639,-56524.8015060699,12835.2284810835
"17",374411.989683424,276898.885781667,-45958.5382657165,-48439.4881119629
"18",483086.462200485,336024.576121589,-48149.5583907007,-82960.5691079139
"19",429636.100393489,305350.08653175,-11059.2426694133,-88311.2315241115
"20",437775.051430834,291390.096043596,-14627.2507339841,-99904.4942783955
"21",377351.071033894,260963.958114256,-25891.6463143291,208069.677022998
"22",384377.09563459,130111.663385319,125463.213978804,103610.065826494
"23",281237.13556725,36834.6134743728,-29638.0542794716,223020.711075459
"24",334016.693717292,140682.8041797,34202.4577597496,81121.2925808671
"25",313828.459820004,148540.131926315,-42452.7753112686,-13649.4802415805
"26",275996.785153506,171790.870768863,93177.3429790177,-54033.5388477808
"27",323333.172510483,150808.077642789,-4600.21294513511,-52528.438516946
"28",334837.164931927,156428.904796988,-18305.3241583141,-5303.09942053107
"29",279513.036858179,296638.10292759,-56059.5326661757,-68846.1014514447
"30",549509.536953659,322662.848792943,56646.8535065725,32704.3956308479
"31",469536.939658685,328669.481208075,-31623.0688769475,-106841.196044709
"32",433591.599898979,316576.192899268,-53688.608616259,-111088.537384215
"33",452345.22942345,332006.845974338,-4554.50706627431,-109156.987324104
"34",483262.983200215,368647.858519277,36689.7726534657,2351.11521203283
"35",394965.923542115,359367.525411951,4142.99255093995,-111286.426115462
"36",430144.105421839,340931.269831319,-23522.5841816581,-52336.2938046159
"37",425793.79455898,367188.194471404,-51881.9638751435,-47546.7785149179
"38",418283.704437386,340425.245608084,-15136.0001237461,-76491.4540796378
"39",459104.865176248,291199.874150706,30906.7041744024,227421.782627864
"40",479695.343771989,394002.150307444,-56705.0966776014,540939.514413634
"41",406215.943412729,222044.884816063,31235.719372381,140848.261693494
"42",398099.120402782,322320.242980004,80121.2856281778,21215.4900724419
"43",465854.069295622,324944.649289601,114010.701899298,137108.137816289
"44",364790.364285092,181913.401893447,98152.2234022873,108546.615783968
"45",397373.180986432,219502.569987712,77676.2897399247,50654.5590818518
"46",406885.552599093,285690.96168925,-29928.7311505347,-108371.4071882
"47",397265.887951287,235918.91259023,-3368.8732188194,-87397.9269104799
"48",320369.50477058,164726.095290255,14057.8159651633,2096.4883124762
"49",437068.839976109,280460.753905105,-100911.81375806,-79257.1040467612
"50",468884.979897721,376220.772691418,25898.7569502494,14860.1279271635
"51",451788.781879918,367561.524032204,-79552.4248944804,237718.593955544
"52",476872.964024377,350893.367560096,22327.7520777301,58097.8409477936
"53",470910.801340142,377799.260033978,-62742.8994181092,-36384.3847389828
"54",538695.270253392,56089.9706953387,-55644.8184649744,304787.083078403
"55",467506.667436093,239079.478214345,-38972.9398889047,46417.23918647
"56",440132.507674187,255496.879645756,-29556.979921018,50942.0857419059
"57",408635.722678533,236683.445245161,-50081.1011925545,-69253.6850049133
"58",452989.858521795,167323.848027891,-7333.9507782104,71809.835817782
"59",497206.925446949,236196.59859963,-92807.6017374002,26793.1467270766
"60",508108.371197789,290100.91478175,-49165.5036710205,-63973.0474607627
"61",452608.718330205,154143.016251794,-3526.21172143388,26200.5411830904
"62",400374.645843406,193826.312645561,-59404.3969212141,178323.16715235
"63",409620.91928359,202069.366847723,19634.8088124582,-8060.59740428958
"64",455777.932717003,289820.368960604,-11208.0736210781,-79588.1935826644
"65",573666.9187452,136131.061773276,-37953.162279265,187428.753830339
"66",571839.932076276,330041.192224436,142821.818188146,-12586.6031600685
"67",637945.122913603,228268.255297415,99756.3229243092,114644.488668862
"68",608808.692874519,138911.377990731,28026.552397765,129321.124650946
"69",447520.311280356,259857.040226774,-15831.6477208499,-36026.2541091427
"70",523723.085156858,284959.262901269,38596.7386171183,-6457.39837726549
"71",495890.375498706,275463.986408095,-39247.9874781459,-80459.5563575083
"72",254750.552514144,195743.624710971,51864.7225622369,-16868.3441633283
"73",427634.950122578,189376.285182246,23836.5821354963,279390.492764224
"74",319148.449709443,422403.724758503,28017.0063887847,3426.06824177346
"75",353729.447588493,396058.968832105,-24790.9733369846,-42493.5941751001
"76",364209.258781274,439962.825831675,-60182.6081755918,-53664.7854599561
"77",426932.559558681,365572.660384159,-36923.3257565158,-118508.949564678
"78",293969.480564733,386480.174859926,1760.09920382395,70319.5092643869
"79",511904.286597371,257729.716743515,64003.4521872656,17360.1126974799
"80",382048.874940006,301912.863998663,-51307.8286979279,111237.620270471
"81",397741.322752161,224611.919950378,47208.8102150703,36303.9142841418
"82",468812.813006825,269796.869843896,-7272.32999845443,-43952.8217875649
"83",456151.311518479,290190.497057234,6910.61294341499,-73845.9632736695
"84",479162.274899718,220551.700571999,39725.8976353609,103371.013925837
"85",385829.059912876,336708.254297509,-37212.5889362192,-44315.6177345864
"86",440865.101813857,304193.284590405,-60655.2453076907,-110542.050983619
"87",436361.578876439,292177.253631804,-15397.0050606471,-105526.653799579
"88",440813.203536235,298326.00269367,15489.7754562624,-58819.6540923554
"89",442734.919887597,253322.141330565,-59199.1925570629,35006.0013943897
"90",463783.739265012,307082.750975693,70270.7641369139,84976.1343264947
"91",431157.803103114,359728.000420443,-32876.2622326029,-53911.5353692525
"92",381919.92532971,300984.493036231,27853.5022405767,-51938.1043773623
"93",345276.744389199,310175.349661474,-74437.6420537934,-44790.4925977689
"94",402238.289107649,314832.606653312,1725.13959013709,-53834.9037112417
"95",449298.652305804,313190.668596477,-36157.7971132447,-80918.2220306396
"96",449748.794429835,326938.408745973,-14986.5595647122,-87058.7359310569
"97",451318.243849107,345467.893264156,-84150.6371167681,-134795.667629337
"98",358496.805693836,282322.566321778,-48204.6248711047,2285.54756884565
"99",521717.774440621,370786.616740383,62530.6881430383,191472.253297696
"100",446850.693103582,320405.748013614,-28395.5922644273,-44207.4247942486
"101",495182.03741644,308146.654873147,30900.4974755563,12295.0902870797
"102",388560.043519661,252058.447608461,-3214.46205896811,293113.036892687
"103",418674.640494058,320706.582672732,-11380.5300463338,-101560.877996926
"104",481000.129698163,299337.249801539,-30848.7872274656,-62060.5521380805
"105",462018.11631726,232180.168734976,65925.4635513822,-4870.38688055251
"106",505357.85994391,280584.324297359,-2113.72832915529,-27047.2978224864
"107",472649.998640219,275100.474789426,24282.0341024225,-46238.0657314979
"108",527856.411034758,314721.663955865,-34635.2471553254,-41836.1060155338
"109",473451.841617619,319844.137050879,-12566.6356334526,-117016.4134053
"110",592961.250776754,336582.281192765,23540.891934827,-431.53882065264
"111",480003.950393243,321313.894702752,-30144.0964760115,-81963.7965311974
"112",530054.869613104,168569.738059029,-110271.460771759,529186.280586585
"113",423126.691100503,256977.3394465,32671.8118869076,-4.6129463033576
"114",472747.389309247,263570.754082957,-60147.1801475579,20749.1749888496
"115",473324.33353708,314328.220837652,-5119.75975808779,-47917.7865247128
"116",485504.175863133,202651.249319566,68405.521585615,75458.3055052881
"117",363451.736861104,215127.139158799,4365.32468034606,-59366.1777520978
"118",524278.686458691,192667.125529152,31164.8199967043,27776.2033220905
"119",581595.838610799,248849.545365515,38086.0702835891,41705.3868178428
"120",482865.761581595,269326.287679288,6222.1404617028,5381.14400557993
"121",506456.088591685,271577.671415515,47427.294286578,-56738.3836495775
"122",430595.013654372,281152.467131915,-22010.4081659949,-52182.8814304864
"123",425951.375626689,247424.205147413,-76096.710178666,-62562.6778936404
"124",436863.356094724,309362.080091703,12208.0708490753,-67318.5947493499
"125",447207.725575545,226742.040476983,-65419.675489284,-7385.4820136413
"126",452618.066581009,208918.924960188,-57289.8413492248,83300.667903582
"127",448574.924326467,307376.011700295,-29400.6129425055,-95816.3909087885
"128",427977.868709819,321885.769932056,-53007.2993776489,-75669.1444300208
"129",434264.324022253,288784.339448324,-17674.9440881437,-33201.4150923604
"130",420005.30572494,260112.551706618,43725.4948431557,-89997.2665987264
"131",395776.257296889,309442.781618698,-62556.9940454756,-56080.502390522
"132",484900.537288473,318262.454818025,38223.1132898858,-62209.4902395383
"133",328205.378960361,198786.512558656,-3637.67561655631,128831.239131329
"134",632939.906357991,272361.165588646,3474.6442682772,41951.4883618664
"135",431987.454222362,318315.596829881,-5835.22473225149,-67401.489836295
"136",431402.522985914,253735.904147692,-15562.4608769349,-33934.7915698875
"137",474874.304479894,275559.087397135,-26689.2841206021,-13680.0427634584
"138",387973.615211953,291984.822169832,-146052.249419788,-18354.8240316966
"139",417970.904600656,330553.62306714,-40257.52805356,-58877.7966740773
"140",454791.984337272,322441.842712653,-64229.8195048078,-118513.720757457
"141",476520.824354816,307895.188913254,-37302.8914526853,-62378.2800061944
"142",433517.49419758,289719.25729694,-79137.6615259627,-52977.0933379699
"143",402953.752666377,256937.122192641,-52959.4401466128,37197.9902860512
"144",394721.019134331,300019.974417734,-44605.6082731438,-72449.7823040841
"145",478993.452817537,322575.610054723,-41255.4461136886,-102816.463316063
"146",489197.143858259,258000.946610113,7744.81440177318,-37330.9258518222
"147",446563.065586561,295162.921120336,10862.1034841515,-73125.8295577739
"148",460990.212812101,320493.996376291,75438.9669785495,71653.696782076
"149",479815.419610901,370838.415820483,-35204.2470063271,-22067.5795982662
"150",452632.847297058,329499.276930893,30116.2176095882,-34004.0250984767
"151",448197.887646843,360044.652797853,-96.4039074877364,-88803.7774991906
"152",428702.095321115,353380.278385236,-26078.3074286228,-103562.010161341
"153",448934.46526241,344859.050116423,71751.5892244858,4429.07235988879
"154",300509.496011029,310703.840307867,-184466.430195103,104849.050658203
"155",418165.91162456,362963.821293116,-27992.7204755289,-87913.1346869043
"156",430445.188050241,329780.239212545,598.83557584355,20849.0336978165
"157",438914.400621609,318760.361229045,27095.0663101203,-59188.786516083
"158",442007.201979844,301781.681591635,-33965.8621842803,-107550.053086124
"159",405845.350470621,282347.565057362,-18913.2503527978,-48732.5555083141
"160",435157.96046052,328891.722368233,2425.35664804462,100461.377400114
"161",465844.755637178,358960.818283506,-79249.8447813338,-63651.7868187677
"162",410055.628213379,299061.27105833,-87175.3002512293,-90198.0434899518
"163",451162.140355952,335593.519766975,-25077.7753720969,-46639.2557492515
"164",380927.967267856,396450.129530248,-17423.466200296,29377.2537429069
"165",484144.670820517,340055.771327597,-49508.560618656,-24143.9383091138
"166",411978.956420264,260511.634640761,-32575.3626574547,-117074.227802675
"167",134750.542679889,167494.115006734,-1596.54227558066,-66520.2538788832
"168",405230.398000204,345157.04311888,-67074.8280383842,96864.667437874
"169",463476.579237705,347460.462096961,-74170.1518363928,-84498.6689696626
"170",415947.324829502,295198.519461458,-74.2538372689742,-42137.8355768241
"171",465492.675199184,326648.637225135,66863.6130482174,-5259.7649328883
"172",569045.927561742,274053.796091667,89218.539877831,245954.148554971
"173",650922.872622306,268312.787032306,115393.101055167,140543.57568964
"174",701977.807054657,308846.479292484,72457.0559483322,181842.88768205
"175",496176.570810825,344731.342794432,53852.0298202146,-13114.2501440994
"176",482160.668552999,276999.642725187,57943.3418893035,-71082.3142170409
"177",487362.943351867,299401.807080918,101301.342356821,-81904.616669359
"178",542466.459527317,217968.730302824,60573.8073229425,66458.17922471
"179",645307.064337072,301918.938609401,2619.02845471345,453551.860821201
"180",381066.410838465,110597.091412792,-434678.780223411,934440.368955312
"181",449017.833094774,295381.367527567,14293.6596612536,-121239.925440618
"182",605947.212941017,258707.8236037,123867.634416552,128613.797239772
"183",256012.322274706,116885.979946324,51618.9210172338,-34978.6931057985
"184",225082.031700281,191844.110295957,34007.2253242519,-107076.740097305
"185",279075.756819533,218820.297517243,-38947.6411132391,-88346.6133404558
"186",269062.825112144,198832.106679623,70006.171156655,-85813.1617683075
